step_index,x,y,cost,inter,fitness,sum_nutrients
41,2.76,2.76,2.76,0.0,2.76,13.799999999999999
41,2.284388462037746,2.696862431268139,2.76,0.0,2.76,13.799999999999999
41,2.76,2.76,2.76,0.0,2.76,13.799999999999999
41,2.284388462037746,2.696862431268139,2.76,0.0,2.76,13.799999999999999
